,titles
859,Code Geass: Lelouch of the Rebellion - Awakening
860,Area 88
862,エリア88
863,Area 88 OVA
864,Sakura Internet
866,SAKURA internet
867,Sakura Internet Shinsei
868,Highschool of the Dead: Drifters of the Dead
870,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド
871,"High School of the Dead OVA, Gakuen Mokushiroku: Highschool of the Dead, HOTD, HSOTD, Drifters of the Dead"
872,Juuou Mujin no Fafnir
874,銃皇無尽のファフニール
875,Unlimited Fafnir
876,Ristorante Paradiso
878,リストランテパラディーゾ
880,Dragon Quest: Dai no Daibouken (1991)
881,Dragon Quest: Great Adventure of Dai
882,ドラゴンクエスト ダイの大冒険
883,Dragon Quest Dai no Daiboken
884,Smile Precure!
885,Glitter Force
886,スマイルプリキュア
887,Smile Pretty Cure!
888,Katsugeki/Touken Ranbu
889,Katsugeki Touken Ranbu
890,活撃／刀剣乱舞
892,Hunter x Hunter (2011)
893,Hunter x Hunter
894,HUNTER×HUNTER ハンターハンター
895,HxH (2011)
896,Non Non Biyori Repeat
897,Non Non Biyori Repeat
898,のんのんびより りぴーと
899,"Non Non Biyori 2nd Season, Non Non Biyori Second Season"
900,Yagami-kun no Katei no Jijou
902,八神くんの家庭の事情
903,"Yagami&#039;s Family Affairs, Yagami-kun&#039;s Family Affairs"
904,Natsume Yuujinchou Go
905,Natsume&#039;s Book of Friends Season 5
906,夏目友人帳 伍
907,"Natsume Yuujinchou Season 5, Natsume&#039;s Book of Friends Five"
908,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue
910,銀魂 〜美味いモノは後回しにすると横取りされるからやっぱり先に食え〜
911,Gintama: Jump Festa 2015 Special
912,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen
913,Danganronpa 3: The End of Hope&#039;s Peak High School - Despair Arc
